"team";"week";"name";"pass";"x";"y";"season";"away_team";"away_score";"home_team";"home_score";"color";"size"
"TB";4;"Tom Brady";"COMPLETE";5.61855229;8.108088085;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";8.329458351;10.08409468;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";-15.48852276;-0.826234106;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";-11.85885867;5.727885464;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";-12.44116588;-2.511862632;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";-20.89861603;12.55252929;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";-12.54509051;-6.221079193;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";-9.864286509;-2.268792888;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";-14.27560171;7.064006837;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";-9.248459892;3.029938776;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"TOUCHDOWN";7.284568841;0.098214286;2020;"LAC";31;"TB";38;4;4
"TB";4;"Tom Brady";"TOUCHDOWN";-7.491538324;0.167065538;2020;"LAC";31;"TB";38;4;4
"TB";4;"Tom Brady";"TOUCHDOWN";11.43833848;0.108178054;2020;"LAC";31;"TB";38;4;4
"TB";4;"Tom Brady";"TOUCHDOWN";0.489294647;0.18375576;2020;"LAC";31;"TB";38;4;4
"TB";4;"Tom Brady";"TOUCHDOWN";-4.405521739;0.098214286;2020;"LAC";31;"TB";38;4;4
"TB";4;"Tom Brady";"INTERCEPTION";-19.89705282;11.31273496;2020;"LAC";31;"TB";38;1;1
"TB";4;"Tom Brady";"INCOMPLETE";10.92403857;3.534940945;2020;"LAC";31;"TB";38;2;2
